mutant_id	file	apply_method	test_node	expect_clean_rc	expect_mutant_rc_nonzero	revert_assert
Tensile.Common.Utilities.x_ensurePath__mutmut_4	Tensile/Common/Utilities.py	mutmut_apply	Tensile/Tests/unit/characterization/CommonUtilities/test_mut_Utilities_ensurePath_char.py::test_ensurepath_oserror_reraises_exact_message_and_type	0	true	true
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_2	Tensile/Common/Utilities.py	diff:/home/davdixon/projects/rocm-libraries/.claude/worktrees/tensilelite-mutation/work/tensilelite-characterization/coverage/mutprod/workflow/diffs/init_2.diff	Tensile/Tests/unit/characterization/CommonUtilities/test_mut_Utilities_SpinnyThing___init___char.py::test_init_chars_list_exact	0	true	true
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_3	Tensile/Common/Utilities.py	diff:/home/davdixon/projects/rocm-libraries/.claude/worktrees/tensilelite-mutation/work/tensilelite-characterization/coverage/mutprod/workflow/diffs/init_3.diff	Tensile/Tests/unit/characterization/CommonUtilities/test_mut_Utilities_SpinnyThing___init___char.py::test_init_chars_list_exact	0	true	true
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_4	Tensile/Common/Utilities.py	diff:/home/davdixon/projects/rocm-libraries/.claude/worktrees/tensilelite-mutation/work/tensilelite-characterization/coverage/mutprod/workflow/diffs/init_4.diff	Tensile/Tests/unit/characterization/CommonUtilities/test_mut_Utilities_SpinnyThing___init___char.py::test_init_chars_list_exact	0	true	true
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_5	Tensile/Common/Utilities.py	diff:/home/davdixon/projects/rocm-libraries/.claude/worktrees/tensilelite-mutation/work/tensilelite-characterization/coverage/mutprod/workflow/diffs/init_5.diff	Tensile/Tests/unit/characterization/CommonUtilities/test_mut_Utilities_SpinnyThing___init___char.py::test_init_chars_list_exact	0	true	true
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_7	Tensile/Common/Utilities.py	diff:/home/davdixon/projects/rocm-libraries/.claude/worktrees/tensilelite-mutation/work/tensilelite-characterization/coverage/mutprod/workflow/diffs/init_7.diff	Tensile/Tests/unit/characterization/CommonUtilities/test_mut_Utilities_SpinnyThing___init___char.py::test_init_index_zero	0	true	true
Tensile.Common.Utilities.xǁSpinnyThingǁincrement__mutmut_7	Tensile/Common/Utilities.py	diff:/home/davdixon/projects/rocm-libraries/.claude/worktrees/tensilelite-mutation/work/tensilelite-characterization/coverage/mutprod/workflow/diffs/inc_7.diff	Tensile/Tests/unit/characterization/CommonUtilities/test_mut_Utilities_SpinnyThing_increment_char.py::test_increment_advances_index_forward_by_one	0	true	true
Tensile.Common.Utilities.xǁSpinnyThingǁincrement__mutmut_8	Tensile/Common/Utilities.py	diff:/home/davdixon/projects/rocm-libraries/.claude/worktrees/tensilelite-mutation/work/tensilelite-characterization/coverage/mutprod/workflow/diffs/inc_8.diff	Tensile/Tests/unit/characterization/CommonUtilities/test_mut_Utilities_SpinnyThing_increment_char.py::test_increment_advances_index_forward_by_one	0	true	true
Tensile.Common.Utilities.xǁSpinnyThingǁfinish__mutmut_2	Tensile/Common/Utilities.py	diff:/home/davdixon/projects/rocm-libraries/.claude/worktrees/tensilelite-mutation/work/tensilelite-characterization/coverage/mutprod/workflow/diffs/fin_2.diff	Tensile/Tests/unit/characterization/CommonUtilities/test_mut_Utilities_SpinnyThing_finish_char.py::test_finish_writes_exact_payload	0	true	true
