mutant_id	file	base_rc	mut_rc	revert	verdict	detail
Tensile.Common.Utilities.x_ensurePath__mutmut_4	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_2	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_3	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_4	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_5	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.xǁSpinnyThingǁ__init____mutmut_7	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.xǁSpinnyThingǁincrement__mutmut_7	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.xǁSpinnyThingǁincrement__mutmut_8	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.xǁSpinnyThingǁfinish__mutmut_2	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
